Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
EVER AIM,Container Ship,,,65.3° / 20.1 kn,15.0 m,-,31 hours ago,9893917 / 352980788,3E3532,Panama,400 / 62 m
EVER ACT,Container Ship,,,181.2° / 12.9 kn,12.8 m,Under way,8 hours ago,9893905 / 352978199,3E2429,Panama,400 / 62 m
EVER ALP,Container Ship,,, ,16.7 m,-,3 days ago,9893929 / 352898717,3E2012,Panama,400 / 62 m
OOCL GDYNIA,Container Ship,-,-, ,12.4 m,Moored,1 min ago,9908102 / 477895400,VRVR3,Hong Kong,399 / 61 m
OOCL ZEEBRUGGE,Container Ship,,, ,15.6 m,-,3 days ago,9908140 / 477895500,VRVR2,Hong Kong,399 / 61 m
OOCL TURKIYE,Container Ship,,, ,14.0 m,Under way,0 min ago,9908138 / 477887800,VRVL3,Hong Kong,399 / 61 m
OOCL VALENCIA,Container Ship,-,-, ,14.0 m,Moored,2 min ago,9922598 / 477928600,VRVW7,Hong Kong,399 / 61 m
OOCL ABU DHABI,Container Ship,-,-, ,13.0 m,-,2 days ago,9922524 / 477929200,VRVW8,Hong Kong,399 / 61 m
OOCL FINLAND,Container Ship,,, ,12.1 m,-,5 days ago,9922536 / 477941100,VRVX3,Hong Kong,399 / 61 m
OOCL PIRAEUS,Container Ship,,, ,13.7 m,-,9 days ago,9908097 / 477886300,VRVG8,Hong Kong,399 / 61 m
OOCL SPAIN,Container Ship,-,-, ,12.9 m,-,3 days ago,9908126 / 477871600,VRVC6,Hong Kong,399 / 61 m
OOCL SWEDEN,Container Ship,,, ,14.5 m,Under way,53 min ago,9922603 / 477949300,VRWA7,Hong Kong,399 / 61 m
OOCL PORTUGAL,Container Ship,-,-, ,14.7 m,Under way,3 min ago,9922615 / 477015400,VRWF8,Hong Kong,399 / 61 m
OOCL DENMARK,Container Ship,-,-, ,11.5 m,-,4 days ago,9922548 / 477949400,VRWA8,Hong Kong,399 / 61 m
OOCL FELIXSTOWE,Container Ship,,, ,15.8 m,Under way,0 min ago,9922512 / 477890700,VRVN7,Hong Kong,399 / 61 m
ONE INTELLIGENCE,Container Ship,-,-, ,14.0 m,Under way,1 min ago,9933121 / 636023310,5LNB8,Liberia,399 / 61 m
ONE INSPIRATION,Container Ship,,, ,14.5 m,Under way,5 min ago,9939149 / 636023348,5LNG9,Liberia,400 / 61 m
ONE INTEGRITY,Container Ship,-,-, ,15.5 m,Moored,3 hours ago,9933119 / 636022963,5LLG5,Liberia,399 / 61 m
ONE INFINITY,Container Ship,,, ,16.6 m,-,4 days ago,9933004 / 636023002,5LLL7,Liberia,399 / 61 m
ONE INNOVATION,Container Ship,,, ,13.5 m,Under way,10 hours ago,9939137 / 636022889,5LKX7,Liberia,400 / 61 m
ONE INGENUITY,Container Ship,,, ,13.7 m,-,44 hours ago,9933016 / 636023290,5LMZ3,Liberia,399 / 61 m
SA OCEANIA,FSO,-,-, ,22.0 m,At anchor,3 hours ago,9246633 / 636023619,5LOP4,Liberia,380 / 68 m
SA EUROPE,FSO,-,-, ,12.0 m,At anchor,3 hours ago,9235268 / 636022398,5LIP2,Liberia,380 / 68 m
MSC MIA,Container Ship,-,-, ,15.3 m,At anchor,4 hours ago,9839466 / 355798000,HP6643,Panama,400 / 62 m
MSC AMBRA,Container Ship,,, ,16.1 m,Under way,9 hours ago,9839480 / 352269000,3FKB,Panama,400 / 62 m
MSC SAMAR,Container Ship,,, ,13.5 m,-,9 days ago,9839442 / 371047000,3FKE9,Panama,400 / 62 m
MSC FEBE,Container Ship,-,-, ,14.2 m,Moored,1 min ago,9839478 / 372729000,3EXK8,Panama,400 / 62 m
MSC LENI,Container Ship,,, ,15.1 m,Under way,4 min ago,9839454 / 356432000,3FPV5,Panama,400 / 62 m
MSC GULSUN,Container Ship,,,303.8° / 14.7 kn,16.3 m,-,3 days ago,9839430 / 372003000,3FTV6,Panama,400 / 62 m
HMM ROTTERDAM,Container Ship,,,178.4° / 13.8 kn,13.1 m,Under way,4 hours ago,9868338 / 440328000,D7IB,Korea,400 / 62 m
HMM STOCKHOLM,Container Ship,,,44.8° / 10.2 kn,15.9 m,Under way,6 hours ago,9868352 / 440361000,D7JP,Korea,400 / 62 m
HMM SOUTHAMPTON,Container Ship,-,-,223.2° / 0.0 kn,15.2 m,Moored,3 min ago,9868340 / 440363000,D7JS,Korea,400 / 62 m
HMM ST PETERSBURG,Container Ship,,,304.4° / 11.3 kn,16.4 m,-,5 days ago,9868364 / 440486000,D7JX,Korea,400 / 62 m
HMM OSLO,Container Ship,,,315.6° / 16.8 kn,15.7 m,-,21 hours ago,9868326 / 440489000,D7JW,Korea,400 / 62 m
BERLIN EXPRESS,Container Ship,-,-,57° / 15.1 kn,13.9 m,-,8 days ago,9540118 / 211119000,DIVZ2,Germany,400 / 61 m
SINGAPORE EXPRESS,Container Ship,,,23° / 13.3 kn,16.4 m,Under way,4 min ago,9543093 / 211122000,DFPH2,Germany,400 / 61 m
MANILA EXPRESS,Container Ship,,,181.6° / 18.0 kn,13.9 m,-,38 hours ago,9540120 / 218006290,DCAU2,Germany,400 / 61 m
HANOI EXPRESS,Container Ship,,,29.6° / 15.5 kn,15.6 m,Under way,3 hours ago,9540132 / 211120000,DFYX2,Germany,400 / 61 m
BUSAN EXPRESS,Container Ship,-,-,334.7° / 7.5 kn,13.2 m,-,34 hours ago,9540144 / 218026640,DPRP,Germany,400 / 61 m
HAMBURG EXPRESS,Container Ship,-,-,321.9° / 0.0 kn,13.5 m,Moored,1 min ago,9943865 / 211123000,DFPW,Germany,400 / 61 m
DAMIETTA EXPRESS,Container Ship,,,242° / 16.5 kn,16.4 m,-,3 days ago,9543108 / 218038370,DFPD2,Germany,400 / 61 m
MSC DILETTA,Container Ship,-,-,33° / 13.6 kn,11.0 m,-,5 days ago,9897004 / 636020598,D5ZY3,Liberia,400 / 61 m
MSC ALLEGRA,Container Ship,,,46.3° / 4.5 kn,12.5 m,Under way,3 hours ago,9897028 / 636020600,D5ZY5,Liberia,400 / 61 m
MSC AMELIA,Container Ship,,,179.1° / 9.9 kn,14.3 m,-,4 days ago,9896995 / 636020543,D5ZR4,Liberia,400 / 61 m
MSC MICHELLE,Container Ship,-,-,44.5° / 11.1 kn,11.6 m,-,6 days ago,9897016 / 636020599,D5ZY4,Liberia,400 / 61 m
MSC APOLLINE,Container Ship,,,136° / 18.3 kn,12.0 m,-,6 days ago,9896983 / 636020542,D5ZR3,Liberia,400 / 61 m
MSC ARINA,Container Ship,,,66.4° / 18.9 kn,14.6 m,-,24 hours ago,9839284 / 374607000,H9BV,Panama,400 / 61 m
MSC ISABELLA,Container Ship,,,77.9° / 12.4 kn,14.9 m,Under way,0 min ago,9839272 / 353590000,HP3521,Panama,400 / 61 m
MSC NELA,Container Ship,,,263° / 8.5 kn,13.5 m,Under way,1 min ago,9839296 / 356234000,HP7585,Panama,399 / 61 m
MSC SIXIN,Container Ship,,,201.6° / 16.9 kn,11.9 m,-,35 hours ago,9839301 / 370711000,HP2652,Panama,400 / 61 m
MSC MINA,Container Ship,,,95.6° / 12.6 kn,13.5 m,-,15 hours ago,9839260 / 351862000,3ENB2,Panama,400 / 61 m
PETROBRAS P78,Offshore Support Vessel,-,-,360° / 0.0 kn,-,-,0 min ago,9959096 / 636021221,5LCW5,Liberia,-
HMM HAMBURG,Container Ship,-,-,63.4° / 0.0 kn,11.9 m,Moored,2 min ago,9863338 / 440223000,D7JM,Korea,400 / 61 m
HMM ALGECIRAS,Container Ship,-,-,26.3° / 17.8 kn,13.9 m,-,10 days ago,9863297 / 440326000,D7JI,Korea,400 / 61 m
HMM DUBLIN,Container Ship,,,163.9° / 16.8 kn,14.4 m,-,6 days ago,9863314 / 440348000,D7IS,Korea,400 / 61 m
HMM HELSINKI,Container Ship,,,209.9° / 13.6 kn,14.6 m,Under way,1 min ago,9863340 / 440288000,D7EL,Korea,400 / 61 m
HMM COPENHAGEN,Container Ship,,,170.4° / 16.7 kn,16.3 m,-,2 days ago,9863302 / 440487000,D7JR,Korea,400 / 61 m
HMM GDANSK,Container Ship,,,54.3° / 14.6 kn,12.1 m,-,6 days ago,9863326 / 440350000,D7JL,Korea,400 / 61 m
HMM LE HAVRE,Container Ship,,,307.3° / 13.0 kn,16.3 m,-,9 days ago,9868314 / 440488000,D7JQ,Korea,400 / 61 m
SYMPHONY OF THE SEAS,Passenger (Cruise) Ship,-,-,145.8° / 20.3 kn,9.2 m,-,21 hours ago,9744001 / 311000660,C6DF6,Bahamas,362 / 66 m
HARMONY OF THE SEAS,Passenger (Cruise) Ship,-,-,138.1° / 17.8 kn,9.3 m,-,2 days ago,9682875 / 311000396,C6BX8,Bahamas,362 / 66 m
OASIS OF THE SEAS,Passenger (Cruise) Ship,,,260° / 20.1 kn,9.3 m,-,46 hours ago,9383936 / 311020600,C6XS7,Bahamas,360 / 60 m
ALLURE OF THE SEAS,Passenger (Cruise) Ship,-,-,36.2° / 9.6 kn,9.3 m,-,46 hours ago,9383948 / 311020700,C6XS8,Bahamas,362 / 48 m
EGINA FPSO,Offshore Support Vessel,-,-,297.6° / 0.0 kn,13.0 m,-,5 days ago,9695896 / 657161000,5NMX3,Nigeria,330 / 61 m
EVER GLORY,Container Ship,-,-,110.5° / 0.0 kn,13.5 m,Moored,0 min ago,9786839 / 636019234,D5TO4,Liberia,400 / 59 m
EVER GLOBE,Container Ship,,,199.3° / 20.2 kn,12.5 m,Under way,2 hours ago,9786841 / 354977000,3FWU2,Panama,399 / 59 m
EVER GREET,Container Ship,,,184.5° / 16.1 kn,13.4 m,-,6 days ago,9832729 / 371829000,3FLF4,Panama,399 / 59 m
EVER GOVERN,Container Ship,-,-,205.9° / 0.6 kn,12.5 m,Under way,0 min ago,9832717 / 356582000,HPUI,Panama,400 / 59 m
EVER GENIUS,Container Ship,-,-,31.1° / 0.1 kn,11.4 m,Moored,2 min ago,9786815 / 370121000,3FJU4,Panama,400 / 59 m
EVER GIFTED,Container Ship,,,56° / 19.3 kn,12.4 m,-,40 hours ago,9786827 / 563068900,9V5825,Singapore,399 / 59 m
CMACGM LOUIS BLERIOT,Container Ship,-,-,16.1° / 0.1 kn,14.7 m,Moored,1 min ago,9776432 / 248794000,9HA4811,Malta,399 / 58 m
CMA CGM JEAN MERMOZ,Container Ship,-,-,289.6° / 10.9 kn,14.0 m,Under way,5 hours ago,9776420 / 248758000,9HA4798,Malta,400 / 59 m
CMA CGM ST EXUPERY,Container Ship,,,193° / 19.1 kn,11.7 m,Under way,6 min ago,9776418 / 229270000,9HA5316,Malta,399 / 58 m
EVER GRADE,Container Ship,,,90.4° / 19.6 kn,14.9 m,Under way,6 hours ago,9820855 / 357463000,3FZS6,Panama,399 / 59 m
EVER GIVEN,Container Ship,-,-,0.2° / 0.1 kn,11.1 m,At anchor,3 min ago,9811000 / 353136000,H3RC,Panama,400 / 59 m
EVER GOLDEN,Container Ship,,,291.9° / 17.4 kn,16.2 m,-,8 days ago,9811012 / 354654000,H9TK,Panama,400 / 59 m
EVER GOODS,Container Ship,,,177.8° / 18.7 kn,13.4 m,-,4 days ago,9810991 / 371308000,3FRV5,Panama,400 / 59 m
PFLNG DUA,Offshore Support Vessel,-,-,319.8° / 0.1 kn,13.2 m,-,41 days ago,9739185 / 533131077,9M2059,Malaysia,362 / 52 m
EVER GENTLE,Container Ship,,,134.9° / 11.4 kn,13.8 m,-,15 hours ago,9820922 / 636019174,D5TG9,Liberia,400 / 59 m
COSCO SHIPPING STAR,Container Ship,-,-,60° / 0.0 kn,12.9 m,Moored,2 min ago,9795658 / 477318200,VRSQ4,Hong Kong,400 / 59 m
COSCO GALAXY,Container Ship,,,141.9° / 18.5 kn,12.3 m,-,6 days ago,9795634 / 477269300,VRSJ9,Hong Kong,400 / 59 m
COSCO NEBULA,Container Ship,-,-,6.7° / 0.0 kn,15.6 m,Moored,2 min ago,9795622 / 477194400,VRRW8,Hong Kong,400 / 58 m
COSCO SHIPPING SOLAR,Container Ship,,,57.1° / 12.3 kn,13.4 m,-,35 hours ago,9795646 / 477302900,VRSO4,Hong Kong,400 / 59 m
MSC WORLD EUROPA,Passenger (Cruise) Ship,,,302.6° / 18.8 kn,9.3 m,Under way,0 min ago,9837420 / 256070000,9HA5682,Malta,333 / 54 m
COSCO UNIVERSE,Container Ship,-,-,30.8° / 0.0 kn,12.4 m,Moored,1 min ago,9795610 / 477157400,VRRP4,Hong Kong,400 / 59 m
COSCO PLANET,Container Ship,,,26.6° / 17.4 kn,12.4 m,-,3 days ago,9795660 / 477345900,VRSU6,Hong Kong,400 / 59 m
MADRID MAERSK,Container Ship,,,72.3° / 11.0 kn,15.6 m,-,3 days ago,9778791 / 219836000,OWMD2,Denmark,399 / 58 m
MUNICH MAERSK,Container Ship,,,318.1° / 19.5 kn,16.5 m,-,4 days ago,9778806 / 219835000,OWCH2,Denmark,399 / 58 m
MUMBAI MAERSK,Container Ship,,,58.2° / 17.0 kn,17.3 m,-,7 days ago,9780471 / 219039000,OWNQ2,Denmark,399 / 58 m
MAASTRICHT MAERSK,Container Ship,-,-,47° / 0.0 kn,11.8 m,Moored,1 min ago,9780483 / 219045000,OWSE2,Denmark,399 / 58 m
MONACO MAERSK,Container Ship,-,-,222.1° / 15.2 kn,15.4 m,-,6 days ago,9778832 / 219863000,OWNL2,Denmark,399 / 58 m
MURCIA MAERSK,Container Ship,,,227.5° / 16.2 kn,14.8 m,Under way,0 min ago,9780457 / 219036000,OWTB2,Denmark,399 / 58 m
MILAN MAERSK,Container Ship,-,-,28.1° / 18.6 kn,13.8 m,-,22 hours ago,9778820 / 219861000,OWGK2,Denmark,399 / 58 m
MARSEILLE MAERSK,Container Ship,-,-,205.7° / 0.0 kn,16.0 m,Moored,12 min ago,9778844 / 219854000,OWPU2,Denmark,399 / 58 m
MANILA MAERSK,Container Ship,-,-,336.9° / 11.8 kn,12.6 m,-,21 hours ago,9780469 / 219038000,OWPP2,Denmark,399 / 58 m
MOSCOW MAERSK,Container Ship,-,-,342.2° / 0.0 kn,11.3 m,Moored,6 min ago,9778818 / 219864000,OWCM2,Denmark,399 / 58 m
MANCHESTER MAERSK,Container Ship,,,168.9° / 18.4 kn,16.6 m,-,7 days ago,9780445 / 219034000,OWAV2,Denmark,399 / 58 m
ONE TRIBUTE,Container Ship,,,285.6° / 17.8 kn,16.1 m,-,7 days ago,9769295 / 431787000,7KMG,Japan,400 / 59 m
ONE TRADITION,Container Ship,,,178.4° / 12.2 kn,13.3 m,-,10 days ago,9769300 / 431808000,7KML,Japan,400 / 59 m
ONE TRIUMPH,Container Ship,-,-,32.1° / 0.9 kn,16.4 m,-,13 hours ago,9769271 / 538007360,V7FQ8,Marshall Islands,400 / 59 m
ONE TRUST,Container Ship,,,57.4° / 12.2 kn,12.9 m,Under way,1 min ago,9769283 / 538007378,V7LF7,Marshall Islands,400 / 59 m
OOCL INDONESIA,Container Ship,-,-,58.7° / 0.0 kn,13.4 m,Moored,0 min ago,9776224 / 477147600,VRRH6,Hong Kong,400 / 59 m
OOCL SCANDINAVIA,Container Ship,,,323.1° / 19.6 kn,15.3 m,-,2 days ago,9776212 / 477121200,VRRB8,Hong Kong,400 / 59 m
OOCL HONG KONG,Container Ship,,,179.9° / 17.8 kn,13.8 m,-,4 days ago,9776171 / 477333500,VRQL9,Hong Kong,400 / 59 m
OOCL JAPAN,Container Ship,-,-,315.9° / 18.5 kn,15.9 m,-,5 days ago,9776195 / 477100400,VRQX5,Hong Kong,400 / 59 m
OOCL GERMANY,Container Ship,,,45.4° / 14.1 kn,11.5 m,-,34 hours ago,9776183 / 477035800,VRQS3,Hong Kong,400 / 59 m
OOCL UNITED KINGDOM,Container Ship,,,70.9° / 14.9 kn,12.6 m,-,15 hours ago,9776200 / 477103800,VRQZ8,Hong Kong,400 / 59 m
ONE TRUTH,Container Ship,,,36.2° / 13.2 kn,12.3 m,-,10 days ago,9773210 / 356984000,3FBJ9,Panama,399 / 58 m
ONE TREASURE,Container Ship,-,-,127.1° / 0.1 kn,15.2 m,Moored,3 min ago,9773222 / 357210000,3EUO7,Panama,400 / 58 m
PROSPERITY,Offshore Support Vessel,-,-,167.2° / 0.0 kn,15.8 m,Moored,7 hours ago,9881043 / 311000949,C6EN8,Bahamas,349 / 60 m
LIZA UNITY,Offshore Support Vessel,-,-,325.6° / 0.0 kn,7.9 m,Moored,2 hours ago,9851828 / 311000797,C6DV8,Bahamas,333 / 60 m
FPSO SEPETIBA,Offshore Support Vessel,-,-,268.2° / 0.1 kn,19.5 m,-,159 days ago,9881457 / 311000945,C6EN4,Bahamas,331 / 60 m
PFLNG SATU,Offshore Support Vessel,-,-,137.6° / 0.0 kn,12.5 m,-,3 days ago,9665085 / 533130229,9WJY6,Malaysia,365 / 60 m
PACIFIC HARVEST,Bulk Carrier,-,-,32.1° / 6.7 kn,23.0 m,-,5 days ago,9806988 / 477191200,VRRJ8,Hong Kong,362 / 65 m
PACIFIC VISION,Bulk Carrier,,,78° / 10.1 kn,23.0 m,-,6 days ago,9806990 / 477232500,VRRJ5,Hong Kong,362 / 65 m
PACIFIC UNITY,Bulk Carrier,-,-,56.1° / 12.2 kn,23.1 m,-,36 hours ago,9806976 / 477159400,VRRJ4,Hong Kong,362 / 65 m
YUAN YI HAI,Bulk Carrier,-,-,89.6° / 11.2 kn,23.0 m,-,7 days ago,9806897 / 563065300,9V5554,Singapore,362 / 65 m
YUAN GU HAI,Bulk Carrier,-,-,94.8° / 0.0 kn,11.4 m,Moored,3 min ago,9806885 / 563057400,9V5553,Singapore,361 / 65 m
YUAN BAO HAI,Bulk Carrier,-,-,290.4° / 13.0 kn,23.1 m,-,49 days ago,9806902 / 563067600,9V5555,Singapore,362 / 65 m
YUAN QIAN HAI,Bulk Carrier,,,7.2° / 12.1 kn,23.0 m,-,3 days ago,9806952 / 563101200,9V5563,Singapore,362 / 65 m
YUAN HE HAI,Bulk Carrier,,,110.2° / 11.6 kn,23.0 m,-,4 days ago,9806873 / 563045200,9V5551,Singapore,362 / 65 m
YUAN HUA HAI,Bulk Carrier,-,-,140.2° / 0.0 kn,23.0 m,-,22 days ago,9806940 / 563093200,9V5559,Singapore,362 / 65 m
PACIFIC PROSPERITY,Bulk Carrier,-,-,33.2° / 5.5 kn,23.1 m,-,6 days ago,9807059 / 477184100,VRRJ9,Hong Kong,362 / 65 m
PACIFIC AUSPICE,Bulk Carrier,,,78° / 10.4 kn,23.0 m,Under way,9 hours ago,9807061 / 477244800,VRRK3,Hong Kong,362 / 65 m
ORE SHANGHAI,Bulk Carrier,,,33.3° / 6.2 kn,23.2 m,Under way,5 hours ago,9815214 / 477232900,VRRL6,Hong Kong,362 / 65 m
PACIFIC EXCELLENCE,Bulk Carrier,-,-,224.7° / 2.7 kn,22.8 m,-,4 days ago,9807009 / 477286900,VRRI8,Hong Kong,362 / 65 m
ORE HONG KONG,Bulk Carrier,-,-,322.8° / 10.4 kn,11.9 m,-,13 days ago,9815238 / 477162700,VRRK5,Hong Kong,362 / 65 m
ORE SHENZHEN,Bulk Carrier,,,66.5° / 11.0 kn,23.1 m,-,10 days ago,9807695 / 477168700,VRRL2,Hong Kong,362 / 65 m
ORE GUANGZHOU,Bulk Carrier,-,-,40.5° / 0.2 kn,23.1 m,-,5 days ago,9807700 / 477184800,VRRL3,Hong Kong,362 / 65 m
ORE TIANJIN,Bulk Carrier,-,-,10.7° / 11.7 kn,23.1 m,-,2 days ago,9807023 / 477153600,VRRK6,Hong Kong,362 / 65 m
ORE ZHANJIANG,Bulk Carrier,-,-,155.5° / 0.0 kn,23.2 m,-,22 days ago,9807750 / 477312500,VRRL8,Hong Kong,362 / 65 m
ORE DALIAN,Bulk Carrier,,,17.4° / 10.9 kn,23.0 m,-,7 days ago,9807035 / 477202100,VRRK9,Hong Kong,362 / 65 m
ORE XIAMEN,Bulk Carrier,,,260.5° / 14.3 kn,12.6 m,Under way,0 min ago,9807047 / 477237500,VRRL5,Hong Kong,362 / 65 m
PACIFIC CAREER,Bulk Carrier,,,30.6° / 4.1 kn,23.0 m,-,13 days ago,9807748 / 477232700,VRRK2,Hong Kong,362 / 65 m
YUAN JIN HAI,Bulk Carrier,-,-,97.4° / 13.9 kn,11.6 m,-,8 days ago,9806914 / 563072400,9V5556,Singapore,361 / 65 m
YUAN SHEN HAI,Bulk Carrier,-,-,158° / 0.0 kn,23.0 m,-,13 days ago,9806926 / 563083300,9V5557,Singapore,362 / 65 m
PACIFIC FLOURISH,Bulk Carrier,-,-,26.7° / 13.1 kn,22.9 m,-,45 hours ago,9807736 / 477176600,VRRJ7,Hong Kong,362 / 65 m
YUAN ZHEN HAI,Bulk Carrier,,,292.4° / 11.9 kn,12.5 m,-,5 days ago,9532551 / 566587000,9V9120,Singapore,360 / 65 m
ORE HEBEI,Bulk Carrier,-,-,166.6° / 0.0 kn,22.9 m,-,9 days ago,9532537 / 477510200,VRPG8,Hong Kong,360 / 65 m
YUAN JIAN HAI,Bulk Carrier,,,301.2° / 13.3 kn,12.9 m,-,32 hours ago,9532587 / 563254000,9V9122,Singapore,360 / 65 m
PACIFIC MERCHANTS,Bulk Carrier,-,-,289.7° / 13.7 kn,10.7 m,-,14 days ago,9532604 / 477178700,VROY9,Hong Kong,360 / 65 m
ORE DONGJIAKOU,Bulk Carrier,-,-,210.9° / 0.0 kn,23.2 m,-,22 days ago,9532513 / 477510300,VRPG9,Hong Kong,360 / 65 m
